País,Competición,Categoría,Temporada,Jornada,Equipo 1,Resultado,Equipo 2
España,La Liga,1ª división,2012-2013,38,Levante,1-1,Betis
España,La Liga,1ª división,2012-2013,38,Rayo,2-2,Athletic
España,La Liga,1ª división,2013-2014,1,R. Sociedad,2-0,Getafe
España,La Liga,1ª división,2013-2014,1,Valladolid,1-2,Athletic
España,La Liga,1ª división,2013-2014,1,Valencia,1-0,Málaga
España,La Liga,1ª división,2013-2014,1,FC Barcelona,7-0,Levante
España,La Liga,1ª división,2013-2014,1,R. Madrid,2-1,Betis
España,La Liga,1ª división,2013-2014,1,Osasuna,1-2,Granada
España,La Liga,1ª división,2013-2014,1,Sevilla,1-3,Atlético
España,La Liga,1ª división,2013-2014,1,Rayo,3-0,Elche
España,La Liga,1ª división,2013-2014,1,Celta,2-2,Espanyol
España,La Liga,1ª división,2013-2014,1,Almería,2-3,Villarreal
España,La Liga,1ª división,2013-2014,2,Getafe,2-2,Almería
